window,term,state,state_code,interest
AMC June 2021 run,BBBY stock,Alabama,AL,0
AMC June 2021 run,BBBY stock,Alaska,AK,0
AMC June 2021 run,BBBY stock,Arizona,AZ,52
AMC June 2021 run,BBBY stock,Arkansas,AR,0
AMC June 2021 run,BBBY stock,California,CA,62
AMC June 2021 run,BBBY stock,Colorado,CO,37
AMC June 2021 run,BBBY stock,Connecticut,CT,58
AMC June 2021 run,BBBY stock,Delaware,DE,0
AMC June 2021 run,BBBY stock,District of Columbia,DC,0
AMC June 2021 run,BBBY stock,Florida,FL,52
AMC June 2021 run,BBBY stock,Georgia,GA,36
AMC June 2021 run,BBBY stock,Hawaii,HI,0
AMC June 2021 run,BBBY stock,Idaho,ID,0
AMC June 2021 run,BBBY stock,Illinois,IL,64
AMC June 2021 run,BBBY stock,Indiana,IN,20
AMC June 2021 run,BBBY stock,Iowa,IA,0
AMC June 2021 run,BBBY stock,Kansas,KS,0
AMC June 2021 run,BBBY stock,Kentucky,KY,0
AMC June 2021 run,BBBY stock,Louisiana,LA,30
AMC June 2021 run,BBBY stock,Maine,ME,0
AMC June 2021 run,BBBY stock,Maryland,MD,53
AMC June 2021 run,BBBY stock,Massachusetts,MA,78
AMC June 2021 run,BBBY stock,Michigan,MI,41
AMC June 2021 run,BBBY stock,Minnesota,MN,53
AMC June 2021 run,BBBY stock,Mississippi,MS,0
AMC June 2021 run,BBBY stock,Missouri,MO,33
AMC June 2021 run,BBBY stock,Montana,MT,0
AMC June 2021 run,BBBY stock,Nebraska,NE,100
AMC June 2021 run,BBBY stock,Nevada,NV,47
AMC June 2021 run,BBBY stock,New Hampshire,NH,0
AMC June 2021 run,BBBY stock,New Jersey,NJ,99
AMC June 2021 run,BBBY stock,New Mexico,NM,0
AMC June 2021 run,BBBY stock,New York,NY,68
AMC June 2021 run,BBBY stock,North Carolina,NC,50
AMC June 2021 run,BBBY stock,North Dakota,ND,0
AMC June 2021 run,BBBY stock,Ohio,OH,36
AMC June 2021 run,BBBY stock,Oklahoma,OK,0
AMC June 2021 run,BBBY stock,Oregon,OR,61
AMC June 2021 run,BBBY stock,Pennsylvania,PA,45
AMC June 2021 run,BBBY stock,Rhode Island,RI,0
AMC June 2021 run,BBBY stock,South Carolina,SC,38
AMC June 2021 run,BBBY stock,South Dakota,SD,0
AMC June 2021 run,BBBY stock,Tennessee,TN,23
AMC June 2021 run,BBBY stock,Texas,TX,37
AMC June 2021 run,BBBY stock,Utah,UT,40
AMC June 2021 run,BBBY stock,Vermont,VT,0
AMC June 2021 run,BBBY stock,Virginia,VA,51
AMC June 2021 run,BBBY stock,Washington,WA,51
AMC June 2021 run,BBBY stock,West Virginia,WV,0
AMC June 2021 run,BBBY stock,Wisconsin,WI,39
AMC June 2021 run,BBBY stock,Wyoming,WY,0
